,제목,저자,출판사,발간일,가격
795,서 있는 여자,박완서,세계사,2012년 01월,"15,300"
796,두모포왜관 수사록,배길남,함향,2023년 01월,"13,500"
797,제사를 부탁해,박서련,문학동네,2023년 02월,"9,000"
798,상냥한 폭력의 시대,정이현,문학과지성사,2016년 10월,"12,600"
799,토지 17,박경리,마로니에북스,2012년 08월,"12,150"
800,해시의 신루 세트,윤이수,해냄,2016년 10월,"71,100"
801,그해 겨울은 따뜻했네 2,박완서,세계사,2012년 01월,"13,500"
802,제2한강,권혁일,오렌지디,2023년 01월,"14,400"
803,김영하 소설 결정판 박스 세트 2차분,김영하,복복서가,2022년 09월,"65,700"
804,조선의 왈가닥 비바리,천영미,고즈넉이엔티,2022년 04월,"13,500"
805,아랑은 왜,김영하,복복서가,2020년 07월,"8,100"
806,"사월의 미, 칠월의 솔",김연수,문학동네,2013년 11월,"10,800"
807,믿음의 개는 시간을 저버리지 않으며,박솔뫼,스위밍꿀,2022년 10월,"10,800"
808,심장에 수놓은 이야기,구병모,arte(아르테),2020년 03월,"9,000"
809,검은 사슴,한강,문학동네,2017년 12월,"13,950"
810,정글만리 3,조정래,해냄,2013년 07월,"14,850"
811,난주,김소윤,은행나무,2018년 11월,"12,600"
812,아무도 기억하지 않았다,안재성,창비,2018년 03월,"13,050"
813,알바생 자르기,장강명,아시아,2015년 10월,"8,550"
814,천년의 금서,김진명,새움,2023년 01월,"13,950"
815,어느 날의 나,이주란,현대문학,2022년 08월,"11,700"
816,검사의 죄,윤재성,새움,2023년 01월,"14,850"
817,나보다 어렸던 엄마에게,정진영,무블출판사,2021년 07월,"12,600"
818,모든 것들의 세계 ,이유리,자음과모음,2022년 11월,"10,800"
819,청년 주부 구운몽,강선우,고즈넉이엔티,2023년 02월,"13,500"
820,남겨진 이름들,안윤,문학동네,2022년 11월,"12,600"
821,인간 연습,조정래,해냄,2021년 04월,"15,120"
822,천국에서,김사과,창비,2013년 09월,"14,400"
823,0125,케이시,플랜비,2022년 10월,"12,420"
824,나는 실수로 투명인간을 죽였다,경민선,팩토리나인,2022년 10월,"13,050"
825,침입자들,정혁용,다산책방,2020년 03월,"12,600"
826,배따라기,김동인,사피엔스21,2012년 02월,"6,300"
827,은교,박범신,문학동네,2010년 04월,"12,150"
828,선물이 있어,은모든,열린책들,2022년 12월,"13,320"
829,현남 오빠에게,조남주,다산책방,2017년 11월,"12,600"
830,대가 없는 일,김혜지,민음사,2021년 10월,"11,700"
831,움푹한,윤해서,시간의흐름,2022년 04월,"13,500"
832,짧고도 긴 여행,배지인,델피노,2022년 12월,"13,500"
833,빌런,최구실,안전가옥,2022년 08월,"11,700"
834,교보문고 스토리공모전 단편 수상작품집 2022,정욱,마카롱,2022년 03월,"10,620"
835,이문열 초한지 1,이문열,알에이치코리아(RHK),2020년 11월,"13,320"
836,무소의 뿔처럼 혼자서 가라,공지영,해냄,2016년 11월,"15,120"
837,그해 겨울은 따뜻했네 1,박완서,세계사,2012년 01월,"11,700"
838,세계의 호수,정용준,arte(아르테),2019년 10월,"9,000"
839,금주령 1,전형진,비욘드오리진,2022년 08월,"14,220"
840,넷이 있었다,이시우,황금가지,2022년 02월,"12,420"
841,달 너머로 달리는 말,김훈,파람북,2020년 06월,"12,600"
842,1인용 식탁,윤고은,문학과지성사,2010년 04월,"11,700"
843,먼 바다,공지영,해냄,2020년 02월,"14,220"
844,파시,박경리,마로니에북스,2013년 05월,"15,300"
845,중국인 거리,오정희,사피엔스21,2012년 02월,"6,300"
846,학교로 간 스파이,이은소,새움,2020년 08월,"12,420"
847,뿌리 깊은 나무 2,이정명,은행나무,2015년 09월,"10,800"
848,메밀꽃 필 무렵 : 이효석 단편집,이효석,다림,2002년 01월,"8,550"
849,지상에 숟가락 하나,현기영,창비,2018년 04월,"14,400"
850,정글만리 1,조정래,해냄,2013년 07월,"14,850"
851,치숙,채만식,사피엔스21,2012년 02월,"7,200"
852,독 짓는 늙은이,황순원,문학과지성사,2004년 12월,"9,450"
853,우리가 다리를 건널 때,문지혁,다산책방,2022년 04월,"12,600"
854,고의는 아니지만,구병모,민음사,2021년 12월,"12,600"
855,누가 봐도 연애소설,이기호,위즈덤하우스,2020년 07월,"12,420"
856,까칠한 재석이가 결심했다,고정욱,애플북스,2019년 03월,"11,520"
857,세 여자 2,조선희,한겨레출판,2017년 06월,"12,600"
858,한국추리문학상 황금펜상 수상작품집 2022 제16회,김세화,나비클럽,2022년 12월,"13,500"
859,9번의 일,김혜진,한겨레출판,2019년 10월,"12,600"
860,능소화,조두진,예담,2006년 09월,"8,100"
861,FIND ME,박성용,좋은땅,2023년 01월,"10,800"
862,아주 사적인 기담 전람회,이현구,북오션,2022년 12월,"14,400"
863,중금 2,임정원,비욘드오리진,2022년 10월,"13,320"
864,당신의 노후,박형서,현대문학,2018년 05월,"11,700"
865,토지 인물 사전,이상진,마로니에북스,2012년 08월,"6,300"
866,1929년 은일당 사건 기록,무경,부크크오리지널,2022년 03월,"15,300"
867,하란사,권비영,특별한서재,2021년 07월,"12,600"
868,별 별 사이,김동식,우리학교,2021년 04월,"11,700"
869,뿌리 깊은 나무 1,이정명,은행나무,2015년 09월,"10,800"
870,국화꽃향기,김하인,스토리3.0,2014년 12월,"11,700"
871,무정,이광수,문학과지성사,2005년 11월,"9,900"
872,덕다이브,이현석,창비,2022년 08월,"14,400"
873,너와 막걸리를 마신다면,설재인,밝은세상,2021년 08월,"13,500"
874,널 만나러 지구로 갈게,김성일,돌베개,2020년 11월,"10,800"
875,이데아,이유월,필프리미엄에디션,2020년 10월,"10,800"
876,"서울, 카타콤",이봄,위즈덤하우스,2023년 01월,"12,600"
877,도서관 런웨이,윤고은,현대문학,2021년 08월,"12,600"
878,순이삼촌,현기영,아시아,2012년 07월,"9,000"
879,어디선가 나를 찾는 전화벨이 울리고,신경숙,문학동네,2010년 05월,"13,050"
880,"그날, 그곳에서",이경희,안전가옥,2021년 01월,"11,700"
881,전래 미스터리,홍정기,몽실북스,2022년 06월,"12,600"
882,슈뢰딩거의 아이들,최의택,아작,2021년 07월,"13,320"
883,이상작품집,이상,자화상,2019년 12월,"5,310"
884,강,서정인,문학과지성사,1997년 07월,"12,600"
885,시체를 보는 사나이 1부 - 더 비기닝 2,공한K,팩토리나인,2022년 04월,"12,420"
886,대멸종,시아란,안전가옥,2019년 05월,"11,700"
887,현장검증,이종관,고즈넉이엔티,2019년 04월,"12,150"
888,키코게임즈 : 호모사피엔스의 취미와 광기,심민아,민음사,2022년 09월,"12,600"
889,우주의 일곱 조각,은모든,문학과지성사,2022년 05월,"12,600"
890,단 丹,김정빈,새움,2016년 08월,"11,700"
891,풀꽃도 꽃이다 2,조정래,해냄,2016년 07월,"14,850"
892,외딴방,신경숙,문학동네,2001년 06월,"13,050"
893,그것이 나만은 아니기를,구병모,문학과지성사,2015년 03월,"12,600"
894,통영,반수연,강,2021년 06월,"12,600"
895,툰드라,강석경,강,2023년 01월,"13,500"
896,여진,안보윤,문학동네,2022년 06월,"13,320"
897,내 생의 마지막 다이어트,권여름,&(앤드),2021년 08월,"12,600"
898,적어도 두 번,김멜라,자음과모음,2020년 07월,"11,700"
899,살수 1,김진명,알에이치코리아(RHK),2019년 09월,"13,320"
900,내가 죽인 남자가 돌아왔다 ,황세연,마카롱,2019년 07월,"12,420"
901,퍽 Puck,고정욱,애플북스,2019년 05월,"10,350"
902,소문의 벽,이청준,문학과지성사,2011년 08월,"12,600"
903,태백산맥 10,조정래,해냄,2020년 10월,"15,750"
904,봉순이 언니,공지영,해냄,2017년 04월,"15,120"
905,나비 사냥,박영광,매드픽션,2013년 05월,"12,600"
906,사랑을 선택하는 특별한 기준 1,김형경,사람풍경,2012년 07월,"12,420"
907,시발;연(緣),niNAno,지식과감성#,2022년 11월,"10,800"
908,그녀를 만나다,정보라,아작,2021년 08월,"13,320"
909,중금 1,임정원,비욘드오리진,2022년 10월,"13,320"
910,휴먼의 근사치,김나현,다산책방,2022년 06월,"12,600"
911,바이올렛,신경숙,문학동네,2022년 04월,"13,500"
912,달러구트 꿈 백화점 (큰글자도서),이미예,팩토리나인,2022년 09월,"32,000"
913,미중전쟁,김진명,쌤앤파커스,2020년 08월,"16,650"
914,기파,박해울,허블,2019년 11월,"10,800"
915,봄바람,박상률,사계절,2017년 07월,"11,700"
916,시인 동주,안소영,창비,2015년 03월,"13,320"
917,들개,이외수,해냄,2014년 04월,"13,050"
918,돌다리,이태준,다림,2000년 04월,"8,550"
919,관종이란 말이 좀 그렇죠,김홍,은행나무,2022년 05월,"12,600"
920,날개,이상,디자인이음,2017년 12월,"3,600"
921,명랑한 밤길,공선옥,창비,2007년 12월,"13,500"
922,요람기,오영수,다림,2003년 07월,"8,550"
923,퀴즈쇼,김영하,복복서가,2022년 09월,"11,700"
924,금파,김해숙,다산책방,2022년 02월,"13,500"
925,펄프픽션,조예은,고블,2022년 01월,"12,150"
926,마령의 세계,최상희,창비,2021년 06월,"10,800"
927,탄금,장다혜,북레시피,2021년 02월,"14,220"
928,고양이달 2 (일러스트 특별판),박영주,아띠봄,2021년 03월,"29,700"
929,태백산맥 2,조정래,해냄,2020년 10월,"15,750"
930,지상의 노래,이승우,민음사,2020년 05월,"12,600"
931,새,오정희,문학과지성사,2017년 09월,"10,800"
932,손님,황석영,창비,2001년 06월,"11,700"
933,자아 찾기ing,최상아,책폴,2023년 01월,"12,600"
934,작은것들,강이라,득수,2022년 09월,"15,300"
935,까마귀 클럽,이원석,문학과지성사,2022년 03월,"12,600"
936,아름다움이 나를 멸시한다,은희경,창비,2020년 05월,"12,600"
937,살수 2,김진명,알에이치코리아(RHK),2019년 09월,"13,320"
938,유예,오상원,문학과지성사,2008년 11월,"9,000"
939,르네 마그리트의 연인 1,유지나,팩토리나인,2023년 01월,"12,600"
940,연옥의 수리공,경민선,마카롱,2022년 01월,"12,420"
941,FTL에 어서 오세요,클레이븐,그래비티북스,2021년 11월,"15,750"
942,대통령 정약용,윤종록,행복한북클럽,2021년 07월,"16,200"
943,오직 한 사람의 차지,김금희,문학동네,2019년 08월,"12,150"
944,사소한 취향 ,김학찬,교유서가,2022년 12월,"13,950"
945,카피캣 식당,범유진,&(앤드),2023년 01월,"12,150"
946,우리가 다시 만날 수 있다면,김윤태,북오션,2022년 10월,"14,400"
947,카프리치오,전기현,좋은땅,2022년 11월,"13,500"
948,"경계 너머로, 지맥(GEMAC)",전윤호,그래비티북스,2022년 08월,"13,950"
949,두 번째 달,최이수,에디토리얼,2021년 03월,"15,120"
950,죽음의 한 연구,박상륭,문학과지성사,2020년 07월,"16,200"
951,너를 읽는 순간,진희,푸른책들,2020년 04월,"12,350"
952,나의 남자,임경선,위즈덤하우스,2016년 03월,"10,800"
953,"언더, 스탠드",추정경,돌베개,2022년 07월,"11,700"
954,러브 플랜트,윤치규,자음과모음,2022년 02월,"10,800"
955,그렇게 우리의 이름이 되는 것이라고,신유진,1984Books(일구팔사북스),2019년 08월,"10,800"
956,L의 운동화,김숨,민음사,2016년 05월,"11,700"
957,칼,이외수,해냄,2014년 07월,"13,050"
958,후계자 1,이원호,반딧불이(한결미디어),2022년 01월,"14,400"
959,교실 맨 앞줄,김성일,돌베개,2021년 05월,"10,800"
960,난설헌,최문희,다산책방,2021년 03월,"13,500"
961,고도일보 송가을인데요,송경화,한겨레출판,2021년 03월,"12,600"
962,만세전,염상섭,문학과지성사,2005년 01월,"9,900"
963,그대 아직도 꿈꾸고 있는가,박완서,세계사,2012년 01월,"11,700"
964,소설로 읽는 그리스 로마 신화,진성,춤추는고래,2022년 07월,"15,120"
965,나의 할머니에게,윤성희,다산책방,2020년 05월,"13,320"
966,섬의 애슐리,정세랑,미메시스,2018년 06월,"7,020"
967,"꾿빠이, 이상",김연수,문학동네,2016년 04월,"11,700"
968,잠실동 사람들,정아은,한겨레출판,2015년 02월,"12,150"
969,나의 삼촌 브루스 리 1,천명관,예담,2012년 01월,"11,520"
970,메타버스 장르문학상 수상작품집 1,조혜린,고즈넉이엔티,2022년 05월,"11,250"
971,사자가 푸른 눈을 뜨는 밤 ,조용호,민음사,2022년 08월,"12,600"
972,후계자 2,이원호,반딧불이(한결미디어),2022년 01월,"14,400"
973,우리는 우리의 최선을,강석희,창비교육,2021년 11월,"12,600"
974,너의 세상으로,조윤경,하빌리스,2021년 04월,"12,420"
975,태백산맥 6,조정래,해냄,2020년 10월,"15,750"
976,미나,김사과,창비,2008년 01월,"11,700"
977,지리산 4,이병주,한길사,2006년 04월,"13,050"
978,단죄의 신들,박해로,네오픽션,2022년 09월,"13,050"
979,소녀 연예인 이보나,한정현,민음사,2020년 07월,"11,700"
980,권태,이상,민음사,2017년 06월,"7,920"
981,맨홀,박지리,사계절,2017년 07월,"11,700"
982,저녁의 해후,박완서,문학동네,2006년 08월,"14,850"
983,지리산 1,이병주,한길사,2006년 04월,"13,050"
984,겨울이 마주한 봄은 멍멍이에요,강이서,스토리해윰,2022년 12월,"14,220"
985,르네 마그리트의 연인 2,유지나,팩토리나인,2023년 01월,"12,600"
986,잔혹범죄전담팀 라플레시아걸,한새마,북오션,2023년 01월,"14,400"
987,발 없는 새,정찬,창비,2022년 06월,"12,600"
988,국수,김숨,창비,2022년 01월,"12,600"
989,한 사람을 위한 마음,이주란,문학동네,2019년 11월,"11,700"
990,2019 제10회 젊은작가상 수상작품집,박상영,문학동네,2019년 04월,"11,700"
991,미남당 사건수첩,정재한,CABINET,2018년 04월,"11,700"
992,나의 삼촌 브루스 리 2,천명관,예담,2012년 02월,"11,520"
993,달의 바다,정한아,문학동네,2007년 07월,"8,550"
994,방학,최설,마시멜로,2022년 03월,"12,420"
995,사막을 지나는 시간,강미,문학과지성사,2022년 02월,"10,800"
996,호러,김혜영,안전가옥,2021년 12월,"11,700"
997,마담 타로,이수아,책과나무,2021년 11월,"12,600"
998,오늘 밤은 사라지지 말아요,백수린,마음산책,2019년 11월,"12,150"
999,여성작가 SF 단편모음집,김지현,온우주,2018년 03월,"13,500"
