,제목,저자,출판사,발간일,가격
316,카스테라,박민규,문학동네,2005년 06월,"12,600"
317,마음의 부력,이승우,문학사상,2021년 01월,"13,950"
318,안녕 주정뱅이,권여선,창비,2016년 05월,"12,150"
319,플라멩코 추는 남자,허태연,다산책방,2021년 09월,"12,600"
320,조선 정신과 의사 유세풍 (상),이은소,새움,2022년 08월,"13,500"
321,배니시드 ,김도윤,팩토리나인,2023년 02월,"14,220"
322,오로라 상회의 집사들,이경란,은행나무,2022년 04월,"12,600"
323,슈뢰딩거의 고양이,이정은,나남,2022년 08월,"13,320"
324,광장 / 구운몽,최인훈,문학과지성사,2008년 11월,"9,900"
325,혼불 1,최명희,매안출판사,2009년 07월,"10,450"
326,일주일 만에 사랑할 순 없다,김동식,요다,2020년 03월,"11,700"
327,완벽한 생애,조해진,창비,2021년 09월,"12,600"
328,카지노,김진명,새움,2022년 12월,"14,850"
329,당신 엄마가 당신보다 잘하는 게임,박서련,민음사,2022년 01월,"11,700"
330,"정말 미안하지만, 나는 아무렇지도 않았다",김동식,요다,2018년 04월,"11,700"
331,초월하는 세계의 사랑,우다영,허블,2022년 04월,"11,700"
332,일 퍼센트,김태호,사계절,2021년 07월,"8,100"
333,선릉 산책,정용준,문학동네,2021년 10월,"12,600"
334,퇴마록 국내편 2,이우혁,엘릭시르,2011년 09월,"15,300"
335,보건교사 안은영,정세랑,민음사,2015년 12월,"11,700"
336,마지막 사도 1,장용민,재담북스,2023년 01월,"14,400"
337,광개토태왕 담덕 3,엄광용,새움,2022년 09월,"14,400"
338,빛의 호위,조해진,창비,2017년 02월,"12,600"
339,전지적 독자 시점 양장본 세트 1,싱숑,비채,2022년 09월,"106,650"
340,다이브,단요,창비,2022년 05월,"12,600"
341,"안녕, 인공존재!",배명훈,북하우스,2020년 07월,"11,700"
342,우리의 계절,이상택,델피노,2022년 10월,"13,500"
343,표백,장강명,한겨레출판,2020년 09월,"12,420"
344,무궁화꽃이 피었습니다 2,김진명,새움,2020년 07월,"13,500"
345,겨울방학,최진영,민음사,2019년 10월,"11,700"
346,삼개주막 기담회 3,오윤희,고즈넉이엔티,2022년 06월,"13,500"
347,삼대,염상섭,문학과지성사,2004년 12월,"10,800"
348,다윈 영의 악의 기원,박지리,사계절,2016년 09월,"18,000"
349,조선의 등 굽은 정원사,천영미,고즈넉이엔티,2021년 07월,"13,500"
350,고양이달 세트 (일러스트 특별판),박영주,아띠봄,2021년 03월,"89,100"
351,아무도 나에게 생활비를 주지 않는다,이종은,캘리포니아미디어,2022년 08월,"16,650"
352,붕대 감기,윤이형,작가정신,2020년 01월,"10,800"
353,당신 옆을 스쳐간 그 소녀의 이름은,최진영,한겨레출판,2022년 01월,"12,420"
354,막 너머에 신이 있다면,김준녕,허블,2022년 08월,"14,400"
355,모두가 회전목마를 탄다,이묵돌,마이디어북스,2022년 11월,"16,650"
356,김영하 소설 결정판 박스 세트 1차분,김영하,복복서가,2020년 09월,"54,000"
357,잠 못 드는 밤의 궁궐 기담 ,현찬양,엘릭시르,2022년 09월,"14,400"
358,최은영 소설 2022 한정 여름 에디션,최은영,문학동네,2022년 07월,"31,500"
359,GV 빌런 고태경,정대건,은행나무,2020년 04월,"12,150"
360,태평천하,채만식,문학과지성사,2005년 01월,"8,100"
361,태백산맥 세트,조정래,해냄,2020년 10월,"157,500"
362,그 많던 싱아는 누가 다 먹었을까,박완서,세계사,2012년 01월,"11,700"
363,너의 바다가 되어,고상만,크루,2021년 10월,"13,320"
364,덕혜옹주,권비영,다산책방,2015년 10월,"12,420"
365,레이디 맥도날드,한은형,문학동네,2022년 03월,"13,050"
366,고구려 1부 : 땅을 다지다 세트,김진명,이타북스,2021년 06월,"89,100"
367,마지막 사도 2,장용민,재담북스,2023년 01월,"14,400"
368,한국단편문학선 2,김동인,민음사,1999년 03월,"9,900"
369,상아의 문으로,구병모,문학과지성사,2021년 11월,"12,600"
370,러브 몬스터,이두온,창비,2023년 02월,"14,400"
371,타워,배명훈,문학과지성사,2020년 02월,"13,500"
372,마당 깊은 집,김원일,문학과지성사,2018년 09월,"12,600"
373,룬의 아이들 - 데모닉 완전판 세트,전민희,엘릭시르,2020년 06월,"117,900"
374,검푸른 고래 요나 ,김명주,다산책방,2022년 10월,"14,400"
375,두 번째 엔딩,김려령,창비,2021년 02월,"11,700"
376,디디의 우산,황정은,창비,2019년 01월,"12,600"
377,밤에 찾아오는 구원자,천선란,안전가옥,2021년 06월,"11,700"
378,룬의 아이들 - 블러디드 2,전민희,엘릭시르,2019년 09월,"13,050"
379,백 오피스,최유안,민음사,2022년 01월,"12,600"
